VariableName,VarLabel,Notes,Code,Value,in2009,in2011,in2013,in2015,in2017,StartYear,EndYear
gestfips,State,,34,NJ,y,y,y,y,y,2009,
gestfips,State,,35,NM,y,y,y,y,y,2009,
gestfips,State,,36,NY,y,y,y,y,y,2009,
gestfips,State,,37,NC,y,y,y,y,y,2009,
gestfips,State,,38,ND,y,y,y,y,y,2009,
gestfips,State,,39,OH,y,y,y,y,y,2009,
gestfips,State,,40,OK,y,y,y,y,y,2009,
gestfips,State,,41,OR,y,y,y,y,y,2009,
gestfips,State,,42,PA,y,y,y,y,y,2009,
gestfips,State,,44,RI,y,y,y,y,y,2009,
gestfips,State,,45,SC,y,y,y,y,y,2009,
gestfips,State,,46,SD,y,y,y,y,y,2009,
gestfips,State,,47,TN,y,y,y,y,y,2009,
gestfips,State,,48,TX,y,y,y,y,y,2009,
gestfips,State,,49,UT,y,y,y,y,y,2009,
gestfips,State,,50,VT,y,y,y,y,y,2009,
gestfips,State,,51,VA,y,y,y,y,y,2009,
gestfips,State,,53,WA,y,y,y,y,y,2009,
gestfips,State,,54,WV,y,y,y,y,y,2009,
gestfips,State,,55,WI,y,y,y,y,y,2009,
gestfips,State,,56,WY,y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,0,Not in MSA or MSA code not reported,y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10180,"Abilene, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10420,"Akron, OH",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10500,"Albany, GA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10540,"Albany, OR",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10580,"Albany-Schenectady-Troy, NY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10740,"Albuquerque, NM",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,10900,"Allentown-Bethlehem-Easton, PA-NJ",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11020,"Altoona, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11100,"Amarillo, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11460,"Ann Arbor, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11500,"Anniston-Oxford-Jacksonville, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11540,"Appleton, WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,11700,"Asheville, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12020,"Athens-Clarke County, GA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12060,"Atlanta-Sandy Springs-Roswell, GA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12100,"Atlantic City-Hammonton, NJ",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12220,"Auburn-Opelika, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12260,"Augusta-Richmond County, GA-SC~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12420,"Austin-Round Rock, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12540,"Bakersfield, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12580,"Baltimore-Columbia-Towson, MD",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12620,"Bangor, ME~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12700,"Barnstable Town, MA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12940,"Baton Rouge, LA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,12980,"Battle Creek, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13140,"Beaumont-Port Arthur, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13380,"Bellingham, WA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13460,"Bend-Redmond, OR",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13740,"Billings, MT~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13780,"Binghamton, NY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13820,"Birmingham-Hoover, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,13980,"Blacksburg-Christiansburg-Radford, VA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14010,"Bloomington, IL~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14020,"Bloomington, IN~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14260,"Boise City, ID",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14460,"Boston-Cambridge-Newton, MA-NH~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14500,"Boulder, CO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14540,"Bowling Green, KY~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14740,"Bremerton-Silverdale, WA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,14860,"Bridgeport-Stamford-Norwalk, CT~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15180,"Brownsville-Harlingen, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15500,"Burlington, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15540,"Burlington-South Burlington, VT~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15680,"California-Lexington Park, MD",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15940,"Canton-Massillon, OH",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,15980,"Cape Coral-Fort Myers, FL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16060,"Carbondale-Marion, IL~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16300,"Cedar Rapids, IA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16540,"Chambersburg-Waynesboro, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16580,"Champaign-Urbana, IL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16620,"Charleston, WV~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16700,"Charleston-North Charleston, SC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16740,"Charlotte-Concord-Gastonia, NC-SC~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16820,"Charlottesville, VA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16860,"Chattanooga, TN-GA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,16980,"Chicago-Naperville-Elgin, IL-IN-WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17020,"Chico, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17140,"Cincinnati, OH-KY-IN~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17300,"Clarksville, TN-KY~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17420,"Cleveland, TN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17460,"Cleveland-Elyria, OH",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17660,"Coeur dAlene, ID",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17780,"College Station-Bryan, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17820,"Colorado Springs, CO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17860,"Columbia, MO~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17900,"Columbia, SC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,17980,"Columbus, GA-AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,18140,"Columbus, OH~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,18580,"Corpus Christi, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,18880,"Crestview-Fort Walton Beach-Destin, FL~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19100,"Dallas-Fort Worth-Arlington, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19300,"Daphne-Fairhope-Foley, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19340,"Davenport-Moline-Rock Island, IA-IL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19380,"Dayton, OH~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19460,"Decatur, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19500,"Decatur, IL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19660,"Deltona-Daytona Beach-Ormond Beach, FL~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19740,"Denver-Aurora-Lakewood, CO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19780,"Des Moines-West Des Moines, IA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,19820,"Detroit-Warren-Dearborn, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20100,"Dover, DE",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20260,"Duluth, MN-WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20500,"Durham-Chapel Hill, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20700,"East Stroudsburg, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20740,"Eau Claire, WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,20940,"El Centro, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,21140,"Elkhart-Goshen, IN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,21340,"El Paso, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,21500,"Erie, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,21660,"Eugene, OR",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,21780,"Evansville, IN-KY~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22020,"Fargo, ND-MN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22140,"Farmington, NM",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22180,"Fayetteville, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22220,"Fayetteville-Springdale-Rogers, AR-MO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22420,"Flint, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22500,"Florence, SC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22520,"Florence-Muscle Shoals, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22660,"Fort Collins, CO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,22900,"Fort Smith, AR-OK~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,23060,"Fort Wayne, IN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,23420,"Fresno, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,23540,"Gainesville, FL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,23580,"Gainesville, GA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24020,"Glens Falls, NY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24140,"Goldsboro, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24340,"Grand Rapids-Wyoming, MI~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24540,"Greeley, CO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24580,"Green Bay, WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24660,"Greensboro-High Point, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24780,"Greenville, NC~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,24860,"Greenville-Anderson-Mauldin, SC~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25060,"Gulfport-Biloxi-Pascagoula, MS~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25180,"Hagerstown-Martinsburg, MD-WV~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25260,"Hanford-Corcoran, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25420,"Harrisburg-Carlisle, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25500,"Harrisonburg, VA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25540,"Hartford-West Hartford-East Hartford, CT~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25860,"Hickory-Lenoir-Morganton, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,25940,"Hilton Head Island-Bluffton-Beaufort, SC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26420,"Houston-The Woodlands-Sugar Land, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26580,"Huntington-Ashland, WV-KY-OH~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26620,"Huntsville, AL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26820,"Idaho Falls, ID~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26900,"Indianapolis-Carmel-Anderson, IN~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,26980,"Iowa City, IA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27100,"Jackson, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27140,"Jackson, MS~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27260,"Jacksonville, FL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27340,"Jacksonville, NC",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27500,"Janesville-Beloit, WI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27740,"Johnson City, TN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27780,"Johnstown, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27900,"Joplin, MO",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,27980,"Kahului-Wailuku-Lahaina, HI~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28020,"Kalamazoo-Portage, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28100,"Kankakee, IL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28140,"Kansas City, MO-KS~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28420,"Kennewick-Richland, WA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28660,"Killeen-Temple, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28700,"Kingsport-Bristol-Bristol, TN-VA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28740,"Kingston, NY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,28940,"Knoxville, TN~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29100,"La Crosse-Onalaska, WI-MN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29180,"Lafayette, LA~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29200,"Lafayette-West Lafayette, IN",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29340,"Lake Charles, LA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29420,"Lake Havasu City-Kingman, AZ",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29460,"Lakeland-Winter Haven, FL",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29540,"Lancaster, PA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29620,"Lansing-East Lansing, MI",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29700,"Laredo, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29740,"Las Cruces, NM",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29820,"Las Vegas-Henderson-Paradise, NV",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,29940,"Lawrence, KS",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,30020,"Lawton, OK~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,30340,"Lewiston-Auburn, ME~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,30460,"Lexington-Fayette, KY",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,30780,"Little Rock-North Little Rock-Conway, AR",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,30980,"Longview, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31080,"Los Angeles-Long Beach-Anaheim, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31140,"Louisville/Jefferson County, KY-IN~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31180,"Lubbock, TX~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31340,"Lynchburg, VA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31420,"Macon, GA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31460,"Madera, CA",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31540,"Madison, WI~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,31700,"Manchester-Nashua, NH~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,32580,"McAllen-Edinburg-Mission, TX",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,32780,"Medford, OR",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,32820,"Memphis, TN-MS-AR~",y,y,y,y,y,2009,
msa13,MSA,~ indicates areas with geographic boundary changes between the 2013 and 2015 surveys.,32900,"Merced, CA",y,y,y,y,y,2009,
